species,threat,scope_sev,Q1,Median,Q3,P99
CENTRONYCTERIS_CENTRALIS,ag_sub1,Scope,0.0051586922422396176,0.1362594580614263,0.6010217580209549,0.8857187118114254
CENTRONYCTERIS_CENTRALIS,ag_sub2,Scope,0.004547296113944655,0.005377829446861575,0.00704086066840254,0.4021135791889655
CENTRONYCTERIS_CENTRALIS,ag_sub3,Scope,0.2014978917557307,0.33639287582011196,0.5450266187701189,0.9688314721966981
CENTRONYCTERIS_CENTRALIS,ag_sub4,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,bi_sub1,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,bi_sub2,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,bi_sub3,Scope,0.005693389838302734,0.13689621751851144,0.30151095160403185,0.9369221819811026
CENTRONYCTERIS_CENTRALIS,bi_sub4,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,cli_sub1,Scope,0.004669104126950558,0.0056846375245586354,0.166346990454034,0.9706787182716252
CENTRONYCTERIS_CENTRALIS,cli_sub2,Scope,0.005132857461592732,0.07087204998191887,0.2076320664503436,0.9405356756661554
CENTRONYCTERIS_CENTRALIS,cli_sub3,Scope,0.0045351217350069195,0.0053626518970916835,0.006939244892907714,0.67138123077417
CENTRONYCTERIS_CENTRALIS,cli_sub4,Scope,0.03718937585170445,0.1964365873299207,0.5834017328338861,0.9399881091706177
CENTRONYCTERIS_CENTRALIS,cli_sub5,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,dev_sub1,Scope,0.004528898752812257,0.00535527457928925,0.006897906916014182,0.7645649633141248
CENTRONYCTERIS_CENTRALIS,dev_sub2,Scope,0.004437233131437733,0.005157912481734226,0.006081883849722712,0.424089644570094
CENTRONYCTERIS_CENTRALIS,dev_sub3,Scope,0.004437233131437733,0.005157912481734226,0.006081883849722712,0.424089644570094
CENTRONYCTERIS_CENTRALIS,en_sub1,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,en_sub2,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,en_sub3,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,geo_sub1,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,geo_sub2,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,geo_sub3,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,hu_sub1,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,hu_sub2,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,hu_sub3,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,in_sub1,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,in_sub2,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,in_sub3,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,in_sub4,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,in_sub5,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,in_sub6,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,na_sub1,Scope,0.004668147260929309,0.005682166642552743,0.14733934853074312,0.901800831621556
CENTRONYCTERIS_CENTRALIS,na_sub2,Scope,0.004434292403273132,0.005154950612487611,0.0060762830057643135,0.8785988868529009
CENTRONYCTERIS_CENTRALIS,na_sub3,Scope,0.004438635629066461,0.00515954348872852,0.0060855667810165714,0.33971644524084543
CENTRONYCTERIS_CENTRALIS,po_sub1,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,po_sub2,Scope,0.004437291090221567,0.005158062050377774,0.006082494087747494,0.660932001565883
CENTRONYCTERIS_CENTRALIS,po_sub3,Scope,0.004866830479325133,0.0063768212147715985,0.20866814473243234,0.9230391024833378
CENTRONYCTERIS_CENTRALIS,po_sub4,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,po_sub5,Scope,0.004350959975780212,0.004999999266712335,0.005710325751490998,0.00878473756020317
CENTRONYCTERIS_CENTRALIS,po_sub6,Scope,0.004433098428640456,0.005153735726306752,0.006073983853889667,0.9274966410881664
CENTRONYCTERIS_CENTRALIS,tr_sub1,Scope,0.0044389547887570165,0.005159999260721894,0.006086847553360232,0.7554758515242752
