species,threat,scope_sev,Q1,Median,Q3,P99
NYCTINOMOPS_MACROTIS,ag_sub1,Scope,0.004574507122511951,0.005440502282809331,0.008194616022005193,0.5647730609619096
NYCTINOMOPS_MACROTIS,ag_sub2,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,ag_sub3,Scope,0.004990023932990375,0.0077246305454682865,0.11514338540850493,0.5781553487058047
NYCTINOMOPS_MACROTIS,ag_sub4,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,bi_sub1,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,bi_sub2,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,bi_sub3,Scope,0.004578569544212453,0.005446436680620629,0.014460010630432951,0.36310652990914494
NYCTINOMOPS_MACROTIS,bi_sub4,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,cli_sub1,Scope,0.008226854948275837,0.2442566456753348,0.4364194619757057,0.938320664512692
NYCTINOMOPS_MACROTIS,cli_sub2,Scope,0.2346905128259206,0.4132866235984009,0.6103848200894967,0.9664933025335438
NYCTINOMOPS_MACROTIS,cli_sub3,Scope,0.15970214310246073,0.26418648202418704,0.43137134588142334,0.9383207628635161
NYCTINOMOPS_MACROTIS,cli_sub4,Scope,0.004578570479437085,0.005446399648424936,0.009839721644697428,0.2560181185077034
NYCTINOMOPS_MACROTIS,cli_sub5,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,dev_sub1,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,dev_sub2,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,dev_sub3,Scope,0.004569207867286829,0.005433397492737793,0.00788816020416689,0.5781627168514113
NYCTINOMOPS_MACROTIS,en_sub1,Scope,0.006979777828790399,0.054456328999427144,0.10826556503882608,0.5061442511655815
NYCTINOMOPS_MACROTIS,en_sub2,Scope,0.008381552592534822,0.08736191504262346,0.1467795957552891,0.5524197633063622
NYCTINOMOPS_MACROTIS,en_sub3,Scope,0.11763337365559282,0.17348402465509363,0.2567803472439498,0.6770303222446774
NYCTINOMOPS_MACROTIS,geo_sub1,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,geo_sub2,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,geo_sub3,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,hu_sub1,Scope,0.00740789303724989,0.07173347555682341,0.12973030443559946,0.5111635682880392
NYCTINOMOPS_MACROTIS,hu_sub2,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,hu_sub3,Scope,0.004572861028639812,0.005437161574479813,0.007901688735870728,0.1950428953265462
NYCTINOMOPS_MACROTIS,in_sub1,Scope,0.0049833510572772815,0.0075355672079731985,0.07595193876595122,0.5647730609863942
NYCTINOMOPS_MACROTIS,in_sub2,Scope,0.004572861028639812,0.005437161574479813,0.007901688735870728,0.1950428953265462
NYCTINOMOPS_MACROTIS,in_sub3,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,in_sub4,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,in_sub5,Scope,0.004578554149617105,0.005446491035894212,0.010123871237839895,0.8664504067736322
NYCTINOMOPS_MACROTIS,in_sub6,Scope,0.004559799191469027,0.005419391456741604,0.0075118447870773436,0.24341322281302577
NYCTINOMOPS_MACROTIS,na_sub1,Scope,0.004989587221959237,0.007698160783481058,0.07002770202327069,0.30330301457381864
NYCTINOMOPS_MACROTIS,na_sub2,Scope,0.004578094546661166,0.005445619986150597,0.008873203569919262,0.4741557398718527
NYCTINOMOPS_MACROTIS,na_sub3,Scope,0.004572861028639812,0.005437161574479813,0.007901688735870728,0.1950428953265462
NYCTINOMOPS_MACROTIS,po_sub1,Scope,0.004572861028639812,0.005437161574479813,0.007901688735870728,0.1950428953265462
NYCTINOMOPS_MACROTIS,po_sub2,Scope,0.0075470601288153616,0.07805200089213486,0.12043032153956196,0.40660399251668655
NYCTINOMOPS_MACROTIS,po_sub3,Scope,0.004999883202358765,0.009154501734234799,0.09685888693591364,0.28697760347695433
NYCTINOMOPS_MACROTIS,po_sub4,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,po_sub5,Scope,0.004350959975780212,0.004999999266712335,0.0057103257514909975,0.00878473756020317
NYCTINOMOPS_MACROTIS,po_sub6,Scope,0.004990022319879761,0.007724542038132452,0.07637212968385462,0.23524377991088677
NYCTINOMOPS_MACROTIS,tr_sub1,Scope,0.0049861511609746514,0.007584679766882707,0.06738864040531482,0.36577487493084715
NYCTINOMOPS_MACROTIS,tr_sub2,Scope,0.0049861511609746514,0.007584679766882707,0.06738864040531482,0.36577487493084715
