WQyLHmHZXLd7qQq,Myotis evotis,0.4353849999999999
gWaXJU2xyCh9san,Myotis evotis,0.8448718800000008
linear pool,Eumops perotis,0.11402136878183007
WQyLHmHZXLd7qQq,Eumops perotis,0.11903399999999995
TwGZY1RRjbNX16F,Eumops perotis,0.24552499999999994
LwPUnryz0oiXXSv,Eumops perotis,0.22025499999999995
WQyLHmHZXLd7qQq,Eumops underwoodi,0.19052499999999997
linear pool,Lasionycteris noctivagans,1.2725712859064857
WQyLHmHZXLd7qQq,Lasionycteris noctivagans,0.39995040999999987
uWYRNyMuXsIBygU,Lasionycteris noctivagans,3.6819634600000004
linear pool,Lasiurus blossevillii,0.6321144223118111
WQyLHmHZXLd7qQq,Lasiurus blossevillii,0.653586
9arDsxSVXC0783b,Lasiurus blossevillii,0.8663314100000015
linear pool,Leptonycteris nivalis,0.7763149198315763
TwGZY1RRjbNX16F,Leptonycteris nivalis,0.7511701000000016
ddvTUD1Qrksp0uJ,Leptonycteris nivalis,0.07452369999999993
5l8I0KY6kc1IWik,Leptonycteris nivalis,1.1562771999999994
zCk32o2Fmk4aZth,Leptonycteris nivalis,1.4312919999999993
linear pool,Leptonycteris yerbabuenae,1.217094145765446
9arDsxSVXC0783b,Leptonycteris yerbabuenae,1.3705578999999988
WQyLHmHZXLd7qQq,Leptonycteris yerbabuenae,0.6444982
5l8I0KY6kc1IWik,Leptonycteris yerbabuenae,1.694457199999999
30f0nkq28w8nj6g,Leptonycteris yerbabuenae,1.7322256199999992
linear pool,Lasiurus cinereus,0.24593492207351084
WQyLHmHZXLd7qQq,Lasiurus cinereus,0.38894701999999987
3NW54nFIXVtnrvm,Lasiurus cinereus,0.33137459999999996
linear pool,Lasiurus xanthinus,0.13417590140213717
WQyLHmHZXLd7qQq,Lasiurus xanthinus,0.30156379999999994
TwGZY1RRjbNX16F,Lasiurus xanthinus,0.06781811999999994
9L1p08Binu8w6Wx,Lasiurus xanthinus,0.31411460999999996
linear pool,Macrotus californicus,1.102398586286152
WQyLHmHZXLd7qQq,Macrotus californicus,0.5786400000000004
9arDsxSVXC0783b,Macrotus californicus,1.6527233999999995
