linear pool,Eptesicus fuscus,0.16433157775866816
gArrS9ijNlKkTZO,Eptesicus fuscus,0.34470279999999986
HiK5lkmh6rxEfzG,Eptesicus fuscus,1.1529644999999995
9NDOhyEhfL11Dc9,Eptesicus fuscus,0.1737689999999999
qU7nTe7DUo5Q8df,Eptesicus fuscus,0.06876861999999992
linear pool,Lasiurus borealis,0.42721524693844304
WsDVC9TheztYX1X,Lasiurus borealis,0.24209780000000003
BhwrZk0Z5QiZAy6,Lasiurus borealis,1.1097864999999996
9NDOhyEhfL11Dc9,Lasiurus borealis,0.6908530000000013
linear pool,Myotis lucifugus,0.8784783425610254
HiK5lkmh6rxEfzG,Myotis lucifugus,1.9363359999999994
BENVwSZb0cPk6MC,Myotis lucifugus,0.7649350000000009
9NDOhyEhfL11Dc9,Myotis lucifugus,1.4436469999999995
linear pool,Myotis septentrionalis,1.0376300564962337
HiK5lkmh6rxEfzG,Myotis septentrionalis,2.3945399999999992
9NDOhyEhfL11Dc9,Myotis septentrionalis,1.328251999999999
qU7nTe7DUo5Q8df,Myotis septentrionalis,0.9534026400000009
AK8oXSfGY0KzIa0,Euderma maculatum,0.6980048800000004
linear pool,Perimyotis subflavus,1.0248228784877307
HiK5lkmh6rxEfzG,Perimyotis subflavus,2.1395759999999995
BhwrZk0Z5QiZAy6,Perimyotis subflavus,1.3744772599999993
9NDOhyEhfL11Dc9,Perimyotis subflavus,1.3490739999999992
FRSdFEy67zNzfL1,Perimyotis subflavus,1.209995
Hs8rtz8tJ5gQeaS,Perimyotis subflavus,1.9278016199999999
linear pool,Lasiurus cinereus,0.36120328078088343
BENVwSZb0cPk6MC,Lasiurus cinereus,0.14499999999999993
9NDOhyEhfL11Dc9,Lasiurus cinereus,1.119386000000001
UNDfQVdwJLSp4wB,Lasiurus cinereus,0.669896800000001
linear pool,Myotis leibii,7.999997653479646e-4
9NDOhyEhfL11Dc9,Myotis leibii,0.5855110000000008
FRSdFEy67zNzfL1,Myotis leibii,7.999999999999996e-4
9NDOhyEhfL11Dc9,Lasionycteris noctivagans,1.2299320000000014
I2XSSZ7YVUr9HOO,Myotis volans,1.4602590100000001
AK8oXSfGY0KzIa0,Myotis yumanensis,1.4512685999999997
AK8oXSfGY0KzIa0,Myotis thysanodes,1.8945394999999994
AK8oXSfGY0KzIa0,Myotis evotis,1.1611205
AK8oXSfGY0KzIa0,Myotis ciliolabrum,2.038138099999999
AK8oXSfGY0KzIa0,Antrozous pallidus,1.4533220999999996
AK8oXSfGY0KzIa0,Corynorhinus townsendii,0.4728530999999999
AK8oXSfGY0KzIa0,Myotis californicus,0.9535451900000008
