group,question_sub
29,insev_sub1_conf
29,insev_sub2_min
29,insev_sub2_mean
29,insev_sub2_max
29,insev_sub2_conf
29,insev_sub3_min
29,insev_sub3_mean
29,insev_sub3_max
29,insev_sub3_conf
29,insev_sub4_min
29,insev_sub4_mean
29,insev_sub4_max
29,insev_sub4_conf
29,insev_sub5_min
29,insev_sub5_mean
29,insev_sub5_max
29,insev_sub5_conf
29,insev_sub6_min
29,insev_sub6_mean
29,insev_sub6_max
29,insev_sub6_conf
30,pon_sub1
30,pon_sub2
30,pon_sub3
30,pon_sub4
30,pon_sub6
30,pon_sub5
30,poscope_sub1_min
30,poscope_sub1_mean
30,poscope_sub1_max
30,poscope_sub1_conf
30,poscope_sub2_min
30,poscope_sub2_mean
30,poscope_sub2_max
30,poscope_sub2_conf
30,poscope_sub3_min
30,poscope_sub3_mean
30,poscope_sub3_max
30,poscope_sub3_conf
30,poscope_sub4_min
30,poscope_sub4_mean
30,poscope_sub4_max
30,poscope_sub4_conf
30,poscope_sub5_min
30,poscope_sub5_mean
30,poscope_sub5_max
30,poscope_sub5_conf
30,poscope_sub6_min
30,poscope_sub6_mean
30,poscope_sub6_max
30,poscope_sub6_conf
30,posev_sub1_min
30,posev_sub1_mean
30,posev_sub1_max
30,posev_sub1_conf
30,posev_sub2_min
30,posev_sub2_mean
30,posev_sub2_max
30,posev_sub2_conf
30,posev_sub3_min
30,posev_sub3_mean
30,posev_sub3_max
30,posev_sub3_conf
30,posev_sub4_min
30,posev_sub4_mean
30,posev_sub4_max
30,posev_sub4_conf
30,posev_sub6_min
30,posev_sub6_mean
30,posev_sub6_max
30,posev_sub6_conf
30,posev_sub5_min
30,posev_sub5_mean
30,posev_sub5_max
30,posev_sub5_conf
31,geon_sub1
31,geon_sub2
31,geon_sub3
31,geoscope_sub1_min
31,geoscope_sub1_mean
31,geoscope_sub1_max
31,geoscope_sub1_conf
31,geoscope_sub2_min
31,geoscope_sub2_mean
31,geoscope_sub2_max
31,geoscope_sub2_conf
31,geoscope_sub3_min
31,geoscope_sub3_mean
31,geoscope_sub3_max
31,geoscope_sub3_conf
31,geosev_sub1_min
31,geosev_sub1_mean
31,geosev_sub1_max
31,geosev_sub1_conf
31,geosev_sub2_min
31,geosev_sub2_mean
31,geosev_sub2_max
31,geosev_sub2_conf
31,geosev_sub3_min
31,geosev_sub3_mean
31,geosev_sub3_max
31,geosev_sub3_conf
32,clin_sub1
32,clin_sub2
32,clin_sub3
32,clin_sub4
32,clin_sub5
32,cliscope_sub1_min
32,cliscope_sub1_mean
32,cliscope_sub1_max
32,cliscope_sub1_conf
32,cliscope_sub2_min
32,cliscope_sub2_mean
32,cliscope_sub2_max
32,cliscope_sub2_conf
32,cliscope_sub3_min
32,cliscope_sub3_mean
32,cliscope_sub3_max
32,cliscope_sub3_conf
32,cliscope_sub4_min
32,cliscope_sub4_mean
32,cliscope_sub4_max
32,cliscope_sub4_conf
32,cliscope_sub5_min
32,cliscope_sub5_mean
32,cliscope_sub5_max
32,cliscope_sub5_conf
32,clisev_sub1_min
32,clisev_sub1_mean
32,clisev_sub1_max
32,clisev_sub1_conf
32,clisev_sub2_min
32,clisev_sub2_mean
32,clisev_sub2_max
32,clisev_sub2_conf
32,clisev_sub3_min
32,clisev_sub3_mean
32,clisev_sub3_max
32,clisev_sub3_conf
32,clisev_sub4_min
32,clisev_sub4_mean
32,clisev_sub4_max
32,clisev_sub4_conf
32,clisev_sub5_min
32,clisev_sub5_mean
32,clisev_sub5_max
32,clisev_sub5_conf
10,otheryn
10,othernum
10,othert
10,othert_other1
10,othert_other2
10,othert_other3
10,othert_other4
10,othert_other5
10,othert_other6
10,othert_other7
10,othert_other8
10,othert_other9
10,othert_other10
10,othersco_user1_min
10,othersco_user1_mean
10,othersco_user1_max
10,othersco_user1_conf
10,othersco_user2_min
10,othersco_user2_mean
10,othersco_user2_max
10,othersco_user2_conf
10,othersco_user3_min
10,othersco_user3_mean
10,othersco_user3_max
10,othersco_user3_conf
10,othersco_user4_min
10,othersco_user4_mean
10,othersco_user4_max
10,othersco_user4_conf
10,othersco_user5_min
10,othersco_user5_mean
10,othersco_user5_max
10,othersco_user5_conf
10,othersco_user6_min
10,othersco_user6_mean
10,othersco_user6_max
10,othersco_user6_conf
10,othersco_user7_min
10,othersco_user7_mean
10,othersco_user7_max
10,othersco_user7_conf
10,othersco_user8_min
10,othersco_user8_mean
10,othersco_user8_max
10,othersco_user8_conf
10,othersco_user9_min
10,othersco_user9_mean
10,othersco_user9_max
10,othersco_user9_conf
10,othersco_user10_min
10,othersco_user10_mean
10,othersco_user10_max
10,othersco_user10_conf
10,othersev_user1_min
10,othersev_user1_mean
10,othersev_user1_max
10,othersev_user1_conf
10,othersev_user2_min
10,othersev_user2_mean
10,othersev_user2_max
10,othersev_user2_conf
10,othersev_user3_min
10,othersev_user3_mean
10,othersev_user3_max
10,othersev_user3_conf
10,othersev_user4_min
10,othersev_user4_mean
10,othersev_user4_max
10,othersev_user4_conf
10,othersev_user5_min
10,othersev_user5_mean
10,othersev_user5_max
10,othersev_user5_conf
10,othersev_user6_min
10,othersev_user6_mean
10,othersev_user6_max
10,othersev_user6_conf
10,othersev_user7_min
10,othersev_user7_mean
10,othersev_user7_max
10,othersev_user7_conf
10,othersev_user8_min
10,othersev_user8_mean
10,othersev_user8_max
10,othersev_user8_conf
10,othersev_user9_min
10,othersev_user9_mean
10,othersev_user9_max
10,othersev_user9_conf
10,othersev_user10_min
10,othersev_user10_mean
10,othersev_user10_max
10,othersev_user10_conf
12,comments
