species,country,spp_abbrev,common_name,area,x
Lasiurus xanthinus,USA,LAXAN,Western Yellow Bat,319135055069.799,"list(c(-104.530266413148, -103.244652, -103.079405, -106.236095, -114.713606, -117.75139, -117.352063, -115.473481274539, -114.72139, -114.815, -113.30498, -113.134553242854, -111.50054, -110.821744154692, -109.035, -108.24194, -108.24, -106.50759, -106.1429, -105.63159, -105.03737, -104.70575, -104.530266413148, 29.7346126486091, 29.363159, 29.329215, 31.751661, 36.71579, 34.05528, 33.158078, 32.6581863949344, 32.72083, 32.52528, 32.0391400000001, 31.9882864908529, 31.488604, 31.3368513146471, 31.3419400000002, 
31.3422200000001, 31.7548537181664, 31.75452, 31.3999500000001, 31.0838300000001, 30.64402, 30.12173, 29.7346126486091))"
Lasiurus ega,USA,LAEGA,Southern Yellow Bat,445404291298.255,"list(c(-96.0206480585931, -95.363213, -97.762112, -117.207150024404, -117.284318915206, -117.937523325672, -116.957294479314, -116.935301817484, -116.245420761148, -115.99135, -114.72139, -114.815, -113.30498, -111.02361, -109.035, -108.24194, -108.24, -106.50759, -106.1429, -105.63159, -105.03737, -104.70575, -104.45697, -103.94, -103.11, -102.48, -101.6624, -100.9576, -100.45584, -100.11, -99.5199999999999, -99.3, -99.2256712415431, -97.405998, -97.2905552047963, -97.33, -97.3799999999999, -97.3699999999999, 
-97.1399999999998, -96.5940399999999, -96.0206480585931, 28.5575580669014, 29.763229, 30.332005, 34.12970837259, 34.140370547717, 33.774112400569, 32.7917788709551, 32.7747185307081, 32.5960625983212, 32.6123900000001, 32.72083, 32.52528, 32.0391400000001, 31.33472, 31.3419400000002, 31.3422200000001, 31.7548537181664, 31.75452, 31.3999500000001, 31.0838300000001, 30.64402, 30.12173, 29.5719600000001, 29.2700000000001, 28.9700000000001, 29.76, 29.7793000000001, 29.3807100000001, 28.6961200000001, 
28.1100000000001, 27.54, 26.8400000000001, 26.7156639363747, 25.914, 26.1395972364453, 26.2100000000001, 26.6900000000001, 27.3800000000001, 27.8300000000001, 28.3074800000001, 28.5575580669014))"
Macrotus californicus,USA,MACAL,Californian Leaf-nosed Bat,260658308321.726,"list(c(-112.392738016699, -111.35779, -110.978588, -109.29556, -109.29556, -114.446685944569, -114.713606, -118.609344752011, -118.590650046271, -117.532133031543, -117.295937691274, -117.288609469179, -116.844376079443, -116.6796104, -115.99135, -114.72139, -114.815, -113.30498, -112.392738016699, 31.7636187759819, 31.54576, 31.707752, 33.079852, 33.123384, 36.5432585789011, 36.71579, 34.2771755249329, 34.2499584145486, 33.257065114896, 33.0462246152039, 33.0240900999757, 32.5946815891, 32.5669622412216, 
32.6123900000001, 32.72083, 32.52528, 32.0391400000001, 31.7636187759819))"
Myotis sodalis,USA,MYSOD,Indiana Myotis,1315143383868.89,"list(c(-82.3549530529153, -84.5517962042326, -94.872, -98.485422, -93.9481385727294, -86.594162, -82.2869232133778, -74.687004, -72.138, -73.087612, -75.96667, -76.568590919356, -76.8200341458056, -77.7378850979576, -78.7202799140424, -79.1716735501119, -79.0099999999999, -78.9199999999999, -78.9393621487437, -80.2474476793479, -81.2777465481671, -82.4392777167916, -82.6900892809202, -83.0298101468069, -83.1419996813126, -83.1199999999999, -82.8999999999999, -82.4299999999999, -82.3549530529153, 
43.1328980110902, 42.7448495837563, 40.3459999990689, 36.692303, 35.6579489920784, 34.417036, 35.4514750936429, 40.237812, 43.49, 43.79812, 44.00111, 43.9354451788411, 43.6287842880937, 43.6290555893634, 43.625089423185, 43.4663394231843, 43.27, 42.965, 42.8636113551481, 42.3661998561227, 42.2090259873069, 41.6751050888673, 41.6751050888673, 41.832795722006, 41.975681057293, 42.0800000000001, 42.4300000000002, 42.9800000000001, 43.1328980110902))"
Myotis austroriparius,USA,MYAUS,Southeastern Myotis,1549882398947.67,"list(c(-77.2305661139757, -76.6022, -87.187118, -92.866667, -96.773384, -94.60751, -92.2279849041968, -91.6267849999999, -90.9982421051647, -90.6907420356976, -90.15463, -89.7792799999999, -89.4082299999999, -89.21767, -89.43, -89.4137349999999, -89.5938311784198, -89.1804899999998, -88.4178199999999, -87.5303599999999, -86.3999999999999, -85.7731, -85.28784, -85.10882, -84.0999999999999, -83.70959, -82.9299999999999, -82.6499999999999, -82.85526, -82.7051499999999, -82.2399999999999, -81.8695186372165, 
-80.43, -80.0659344938519, -80.0565392849776, -80.5299999999998, -80.5355849999999, -80.9799999999999, -81.31371, -81.49042, -81.33629, -80.8649799999999, -80.3013249999999, -79.20357, -79.06067, -78.5543499999998, -78.05496, -77.3976349999999, -77.2305661139757, 34.5606368768909, 36.1266, 39.845944, 38.716667, 32.771659, 30.24722, 29.591696891216, 29.6770000000001, 29.2327183200267, 29.1407909768633, 29.1174300000001, 29.3071400000001, 29.15961, 29.2910800000001, 29.48864, 29.89419, 30.1599940048369, 
30.3159800000001, 30.3849, 30.27433, 30.4000000000001, 30.1526100000001, 29.6861200000001, 29.6361500000001, 30.0900000000001, 29.9365600000001, 29.1000000000001, 28.5500000000002, 27.88624, 27.4950400000001, 26.7300000000001, 26.1303880735516, 25.57, 26.6795780554379, 26.8800000000001, 28.0400000000001, 28.47213, 29.1800000000001, 30.0355200000001, 30.7299900000001, 31.44049, 32.0333000000001, 32.5093550000001, 33.1583900000001, 33.49395, 33.8613300000001, 33.9254700000001, 34.51201, 34.5606368768909
))"
Choeronycteris mexicana,USA,CHMEX,Mexican Long-tongued Bat,600282485702.911,"list(c(-100.458641637886, -97.493183, -107.656, -115.136988842079, -119.274967917462, -119.005203648748, -118.5198948228, -118.410602275898, -117.944, -117.295937691274, -117.149993390313, -117.122487315699, -116.92838334757, -115.99135, -114.72139, -114.815, -113.30498, -112.047569112849, -110.537024985826, -109.035, -108.24194, -108.24, -106.50759, -106.1429, -105.63159, -105.03737, -104.70575, -104.603114468649, -102.777908107154, -102.48, -101.6624, -100.9576, -100.458641637886, 28.6999728866918, 
27.748023, 35.164, 36.1749325626259, 34.2784637560462, 34.0713686660039, 34.0277815775758, 33.7409092231245, 33.6212364312014, 33.0462246152039, 32.6032295950415, 32.5808801830993, 32.54960743526, 32.6123900000001, 32.72083, 32.52528, 32.0391400000001, 31.6572354737124, 31.3393202256879, 31.3419400000002, 31.3422200000001, 31.7548537181664, 31.75452, 31.3999500000001, 31.0838300000001, 30.64402, 30.12173, 29.8957094947314, 29.388329404806, 29.76, 29.7793000000001, 29.3807100000001, 28.6999728866918
))"
Myotis septentrionalis,USA,MYSEP,Northern Myotis,2234974633264.77,"list(c(-82.7995654103614, -90.1863679571016, -90.186577, -104.448805, -104.028366, -99.347, -94.798739, -88.348461, -83.7586524579511, -78.6388, -76.6624651230218, -76.9899979316135, -76.6071783216037, -76.4211618708057, -76.5427249999999, -76.3500000000001, -76.262820971728, -75.4833904825294, -75.52805, -75.4392164614933, -73.3833, -72.9794588300601, -73.485557, -75.906134, -76.2957696140074, -76.3749999999999, -76.5, -76.8200341458056, -77.7378850979576, -78.7202799140424, -79.1716735501119, -79.0099999999999, 
-78.9199999999999, -78.9393621487437, -80.2474476793479, -81.2777465481671, -82.4392777167916, -82.6900892809202, -83.0298101468069, -83.1419996813126, -83.1199999999999, -82.8999999999999, -82.4299999999999, -82.137642381504, -82.3377631254311, -82.5509246487582, -82.7995654103614, 45.4611037590477, 46.4496394776601, 46.449646, 44.498189, 43.828143, 38.875, 35.645782, 35.1602, 35.1795703830913, 35.7801, 38.0876150899751, 38.2399917669134, 38.1497077427279, 38.357659280097, 38.7176150000001, 39.15, 
38.5335053986795, 39.38363381812, 39.4985000000001, 39.4310517764661, 41.55, 42.2699490906392, 42.646037, 44.05895, 44.1512591238169, 44.09631, 44.0184588937586, 43.6287842880937, 43.6290555893634, 43.625089423185, 43.4663394231843, 43.27, 42.965, 42.8636113551481, 42.3661998561227, 42.2090259873069, 41.6751050888673, 41.6751050888673, 41.832795722006, 41.975681057293, 42.0800000000001, 42.4300000000002, 42.9800000000001, 43.57108755144, 44.4400000000001, 45.3475165879055, 45.4611037590477))"
Corynorhinus rafinesquii,USA,CORAF,Rafinesque's Big-eared Bat,5222634223913.07,"list(c(-77.4614646248984, -76.7933, -76.6678, -76.6483, -76.6833, -119.110564, -118.550378927038, -116.529579, -115.728445599582, -114.72139, -114.815, -113.30498, -113.291900636852, -111.185405, -110.730362, -108.241478529746, -108.24, -106.50759, -106.168373979685, -89.5414176887214, -89.5938311784198, -89.1804899999998, -88.4178199999999, -87.5303599999999, -86.3999999999999, -85.7731, -85.28784, -85.10882, -84.0999999999999, -83.70959, -82.9299999999999, -82.8383333524045, -82.05, -81.1297, -81.0896607975355, 
-81.31371, -81.49042, -81.33629, -80.8649799999999, -80.3013249999999, -79.20357, -79.06067, -78.5543499999998, -78.05496, -77.4614646248984, 34.4555650267471, 35.3053, 35.8383, 36.1364, 36.4514, 48.704685, 37.5793339933445, 32.821484, 32.635910793959, 32.72083, 32.52528, 32.0391400000001, 32.035247329536, 31.471479, 31.415653, 31.4407045203188, 31.7548537181664, 31.75452, 31.4248384154473, 30.0828092675797, 30.1599940048369, 30.3159800000001, 30.3849, 30.27433, 30.4000000000001, 30.1526100000001, 
29.6861200000001, 29.6361500000001, 30.0900000000001, 29.9365600000001, 29.1000000000001, 28.9206439838033, 28.76, 29.4041, 29.4628270479209, 30.0355200000001, 30.7299900000001, 31.44049, 32.0333000000001, 32.5093550000001, 33.1583900000001, 33.49395, 33.8613300000001, 33.9254700000001, 34.4555650267471))"
Myotis leibii,USA,MYLEI,Eastern Small-footed Myotis,6037413771772.98,"list(c(-84.8743466676189, -120.016184134321, -120.503491, -122.325113871409, -120.833815276301, -119.713333, -119.511283273904, -119.438840642017, -119.37136259604, -118.793743960682, -118.5198948228, -118.477475242593, -116.350845, -115.051966400427, -114.72139, -114.764588748771, -109.50867542989, -109.035, -108.24194, -108.24, -106.50759, -106.1429, -105.63159, -105.03737, -104.70575, -104.610492407811, -104.37167, -83.1397456539573, -74.687004, -73.835876639893, -73.5357, -75.5150987063625, -76.3749999999999, 
-76.5, -76.8200341458056, -77.7378850979576, -78.7202799140424, -79.1716735501119, -79.0099999999999, -78.9199999999999, -78.9393621487437, -80.2474476793479, -81.2777465481671, -82.4392777167916, -82.6900892809202, -83.0298101468069, -83.1419996813126, -83.1199999999999, -82.8999999999999, -82.4299999999999, -82.137642381504, -82.3377631254311, -82.5509246487582, -83.5928507148431, -83.4695507473946, -83.6161309475905, -83.8907653470057, -84.0918512641615, -84.1421195136733, -84.3367, -84.6049000000001, 
-84.5437487454457, -84.7792382473998, -84.8743466676189, 46.8953998825405, 47.8408407231203, 46.7014999990585, 41.5024452288586, 36.5188218323173, 34.440833, 34.3564298702254, 34.3484771782843, 34.2976855007772, 34.0526167561263, 34.0277815775758, 33.9166786787235, 32.970051, 32.6938589812743, 32.72083, 32.6307032032829, 31.3430022762337, 31.3419400000002, 31.3422200000001, 31.7548537181664, 31.75452, 31.3999500000001, 31.0838300000001, 30.64402, 30.12173, 29.9119939575959, 29.836416, 35.0442842458079, 
40.237812, 41.0944055396252, 44.0918, 44.6843598078033, 44.09631, 44.0184588937586, 43.6287842880937, 43.6290555893634, 43.625089423185, 43.4663394231843, 43.27, 42.965, 42.8636113551481, 42.3661998561227, 42.2090259873069, 41.6751050888673, 41.6751050888673, 41.832795722006, 41.975681057293, 42.0800000000001, 42.4300000000002, 42.9800000000001, 43.57108755144, 44.4400000000001, 45.3475165879055, 45.8168936224126, 45.9946863877126, 46.1169269882991, 46.1169269882991, 46.2754186061383, 46.5122258571157, 
46.4087700000001, 46.4396, 46.5386841904492, 46.6371019557491, 46.8953998825405))"
Eumops floridanus,USA,EUFLO,Florida Bonneted Bat,3345926688.33237,"list(c(-80.2684, -80.23587, -80.209671, -81.8801, -80.43, -80.2684, 25.7215, 25.770678, 25.814076, 26.6673, 25.57, 25.7215))"
Eumops underwoodi,USA,EUUND,Underwood's Bonneted Bat,130135847589.505,"list(list(c(-82.8488725796131, -82.5, -82.8559948278231, -82.8488725796131, 28.9413000019554, 28.87, 28.9552538962517, 28.9413000019554)), list(c(-89.2236637297672, -106.753127554641, -109.8742, -112.995932303177, -111.482413623257, -108.241125025803, -108.24, -106.50759, -106.242506851236, -89.5675433416462, -89.5938311784198, -89.2236637297672, 30.299770977376, 32.2834194102761, 32.245007, 31.9467137214011, 31.4805122197596, 31.5160077208159, 31.7548537181664, 31.75452, 31.4971634484002, 30.1212999020639, 
30.1599940048369, 30.299770977376)))"
Myotis grisescens,USA,MYGRI,Gray Myotis,1343685999849.54,"list(c(-83.6600119418398, -82.476387, -76.509476, -91.32, -92.564087, -95.031769, -95.068856, -95.049818, -92.666855, -84.139283620582, -84.0999999999999, -83.70959, -83.6600119418398, 29.8839059414123, 29.407499, 42.438103, 39.49, 38.980034, 37.366329, 36.396645, 35.964196, 33.026539, 30.0725475830763, 30.0900000000001, 29.9365600000001, 29.8839059414123))"
Carollia perspicillata,USA,CAPER,Seba's Short-tailed Bat,0,"c(-106.663485, -106.663856, 35.078382, 35.078336)"
Leptonycteris nivalis,USA,LENIV,Mexican Long-nosed Bat,13999393118.9006,"list(list(c(-108.240564645573, -109.262910409384, -110.630743568442, -109.10811148441, -109.035, -108.24194, -108.240564645573, 31.6351312937229, 32.0517803464522, 32.0650724495964, 31.3422174993512, 31.3419400000002, 31.3422200000001, 31.6351312937229)), list(c(-104.501704210525, -103.333, -103.0178, -104.446007, -104.694202472439, -104.501704210525, 29.6712973527036, 29.212999, 29.253264, 29.983168, 30.0963558158684, 29.6712973527036)))"
Artibeus jamaicensis,USA,ARJAM,Jamaican Fruit-eating Bat,0,"c(-106.442041, -103.277, 31.769973, 30.174999)"
Macrotus waterhousii,USA,MAWAT,Waterhouse's Leaf-nosed Bat,173739244234.179,"list(c(-110.63028, -111.09623, -114.05301, -120.688505, -117.417620833366, -112.9496, -110.958144, -110.63028, 32.065, 33.293945, 35.189439999111, 36.345514, 34.02297291829, 32.21033, 31.531203, 32.065))"
Diphylla ecaudata,USA,DIECA,Hairy-legged Vampire Bat,0,"c(-101.160004, -92.1839825805209, 29.693001, 33.4371097341234)"
Molossus molossus,USA,MOMOL,Pallas's Mastiff Bat,0,"c(-120.8, 40.28)"
Desmodus rotundus,USA,DEROT,Common Vampire Bat,0,"c(-76.520390425913, 42.4293923053138)"
Myotis lucifugus,Canada,MYLUC,Little Brown Myotis,6437885411027.52,"list(list(c(-88.0544260923149, -127.16667, -136.283333, -137.05, -123.113521, -122.264439, -119.761646007335, -117.03121, -116.04818, -113, -110.05, -107.05, -104.04826, -100.65, -97.2287200000048, -95.159069509172, -95.1560899999999, -94.81758, -94.64, -94.3291400000001, -93.63087, -92.61, -91.64, -90.83, -89.6, -89.2729174466367, -88.3781141832867, -87.4397926233002, -86.4619908312283, -85.6523632474034, -84.8760798815149, -84.7792382473999, -84.5437487454459, -84.6049, -84.3367, -84.1421195136734, 
-84.0918512641615, -83.8907653470058, -83.6161309475906, -83.4695507473946, -83.5928507148431, -82.5509246487582, -82.3377631254311, -82.1376423815039, -82.43, -82.9, -83.0692627808718, -82.533333, -79.19461, -78.9358831680952, -79.01, -79.1716735501119, -78.7202799140424, -77.7378850979577, -77.658696774467, -76.15, -59.202842, -62.333333, -66.9604219953238, -67.6497599999999, -68.37455, -69.2879, -69.4215407800421, -78.0925639637518, -77.77272, -77.33676, -78.51688, -77.30226, -76.62319, -76.54137, 
-77.0956, -78.22874, -79.82958, -79.12421, -78.60191, -79.14301, -79.91289, -81.40075, -82.12502, -82.4362, -82.27285, -83.36055, -85.01181, -86.07121, -87.32421, -88.03978, -89.03953, -90.89769, -92.2970299999999, -92.76462, -93.21502, -94.6846, -94.62931, -94.24153, -93.15698, -91.93342, -90.7700400000001, -90.70398, -89.91444, -88.48296, -88.0544260923149, 64.3539797609693, 65.2, 62.1, 60.85, 49.261096, 49.006408, 49.0028125769717, 49, 49, 49, 49, 49, 48.99986, 49, 49.0007, 49, 49.38425, 49.38905, 
48.84, 48.67074, 48.60926, 48.45, 48.14, 48.27, 48.01, 48.0198082545827, 48.3029175888937, 47.94, 47.553338019392, 47.2202188177305, 46.9000833196824, 46.637101955749, 46.5386841904491, 46.4396, 46.40877, 46.5122258571157, 46.2754186061382, 46.1169269882991, 46.1169269882991, 45.9946863877126, 45.8168936224124, 45.3475165879054, 44.44, 43.5710875514399, 42.98, 42.4300000000001, 42.1611006333393, 41.95, 42.8921799990592, 43.0190525963449, 43.2700000000001, 43.4663394231842, 43.6250894231849, 43.6290555893633, 
43.6293216337652, 44.316667, 55.047394, 56.3, 58.4806218528563, 58.2120600000001, 58.80106, 58.9573600000001, 59.4770177112846, 62.2559452152779, 60.75788, 59.85261, 58.8045800000001, 58.05209, 57.20263, 56.53423, 55.83741, 55.13645, 54.66772, 54.14145, 52.56208, 51.53393, 51.20842, 52.15788, 53.27703, 54.28227, 55.14832, 55.24489, 55.3026, 55.72383, 55.99914, 56.47162, 56.8517200000001, 57.28468, 57.08709, 57.84571, 58.78212, 58.94882, 60.11021, 60.89865, 62.02469, 62.83508, 62.96021, 63.61017, 
64.03273, 64.0989700000001, 64.3539797609693)), list(c(-84.006898705278, -86.3483999738588, -86.3527597724713, -87.2219832018367, -85.8667687649824, -85.523404710619, -84.1004166328139, -84.006898705278, 63.6210583714909, 64.0634239498381, 64.0358332383707, 63.5412381049052, 63.6372529161036, 63.0523790554241, 63.569711819098, 63.6210583714909)), list(c(-79.52002, -79.92939, -80.315395, -80.36215, -80.09956, -79.65752, -79.26582, -79.52002, 62.36371, 62.3856, 62.085565, 62.01649, 61.7181, 61.63308, 
62.158675, 62.36371)), list(c(-81.87699, -83.25048, -83.99367, -83.77462, -83.06857, -81.89825, -81.87699, 62.90458, 62.91409, 62.4528, 62.18231, 62.15922, 62.7108, 62.90458)))"
Myotis leibii,Canada,MYLEI,Eastern Small-footed Myotis,254606860056.543,"list(c(-82.2208748166583, -81.49056, -77.183333, -75.933333, -76.733333, -84.7111282250404, -84.17125315015, -84.1421195136734, -84.1270960320356, -83.8689960023867, -83.6161309475906, -83.4695507473946, -83.5928507148431, -82.5509246487582, -82.3377631254311, -82.2208748166583, 43.9356148612776, 42.9066299990592, 44.233333, 45.633333, 48.466667, 47.1603040687847, 46.4967818895643, 46.5122258571157, 46.4416696634718, 46.1169509888983, 46.1169269882991, 45.9946863877126, 45.8168936224124, 45.3475165879054, 
44.44, 43.9356148612776))"
Eptesicus fuscus,Canada,EPFUS,Big Brown Bat,1461557982986.29,"list(c(-78.0708231845111, -76.5, -76.2, -75.666667, -75.683333, -84.748219, -100.4, -113.5, -125.316667, -123.114119, -122.284213265368, -120, -117.03121, -116.04818, -113, -110.05, -107.05, -104.04826, -100.65, -97.2287200000048, -95.159069509172, -95.1560899999999, -94.81758, -94.64, -94.3291400000001, -93.63087, -92.61, -91.64, -90.83, -89.6, -89.2729174466367, -88.3781141832867, -87.4397926233002, -86.4619908312283, -85.6523632474034, -84.8760798815149, -84.7792382473999, -84.5437487454459, -84.6049, 
-84.3367, -84.1421195136734, -84.0918512641615, -83.8907653470058, -83.6161309475906, -83.4695507473946, -83.5928507148431, -82.5509246487582, -82.3377631254311, -82.1376423815039, -82.43, -82.9, -83.0693228780422, -82.533333, -80.07192, -79.0049165623371, -79.01, -79.1716735501119, -78.7202799140424, -78.0708231845111, 43.6286538898715, 44.233333, 44.533333, 45.433333, 45.45, 49.267824, 53.3, 53.55, 52.466667, 49.232383, 49.0054861801529, 49, 49, 49, 49, 49, 49, 48.99986, 49, 49.0007, 49, 49.38425, 
49.38905, 48.84, 48.67074, 48.60926, 48.45, 48.14, 48.27, 48.01, 48.0198082545827, 48.3029175888937, 47.94, 47.553338019392, 47.2202188177305, 46.9000833196824, 46.637101955749, 46.5386841904491, 46.4396, 46.40877, 46.5122258571157, 46.2754186061382, 46.1169269882991, 46.1169269882991, 45.9946863877126, 45.8168936224124, 45.3475165879054, 44.44, 43.5710875514399, 42.98, 42.4300000000001, 42.1610047073112, 41.95, 42.8084099990594, 43.2528555763102, 43.2700000000001, 43.4663394231842, 43.6250894231849, 
43.6286538898715))"
Lasionycteris noctivagans,Canada,LANOC,Silver-haired Bat,2590992248198.87,"list(c(-78.1056422379569, -75.7, -81.45, -112.416667, -124.045, -123.199824, -122.758988591905, -120, -117.03121, -116.04818, -113, -110.05, -107.05, -104.04826, -100.65, -97.2287200000048, -95.159069509172, -95.1560899999999, -94.81758, -94.64, -94.3291400000001, -93.63087, -92.61, -91.64, -90.83, -89.6, -89.2729174466367, -88.3781141832867, -87.4397926233002, -86.4619908312283, -85.6523632474034, -84.8760798815149, -84.7792382473999, -84.5437487454459, -84.6049, -84.3367, -84.1421195136734, -84.0918512641615, 
-83.8907653470058, -83.6161309475906, -83.4695507473946, -83.5928507148431, -82.5509246487582, -82.3377631254311, -82.1376423815039, -82.43, -82.9, -83.0693304248777, -82.533333, -79.09511, -78.9250205433154, -79.01, -79.1716735501119, -78.7202799140424, -78.1056422379569, 43.6285560707005, 45.416667, 50.6, 59.116667, 52.338611, 49.264199, 49.0009659379086, 49, 49, 49, 49, 49, 49, 48.99986, 49, 49.0007, 49, 49.38425, 49.38905, 48.84, 48.67074, 48.60926, 48.45, 48.14, 48.27, 48.01, 48.0198082545827, 
48.3029175888937, 47.94, 47.553338019392, 47.2202188177305, 46.9000833196824, 46.637101955749, 46.5386841904491, 46.4396, 46.40877, 46.5122258571157, 46.2754186061382, 46.1169269882991, 46.1169269882991, 45.9946863877126, 45.8168936224124, 45.3475165879054, 44.44, 43.5710875514399, 42.98, 42.4300000000001, 42.1609926611648, 41.95, 42.8454299990593, 42.9820961117178, 43.2700000000001, 43.4663394231842, 43.6250894231849, 43.6285560707005))"
Myotis yumanensis,Canada,MYYUM,Yuma Myotis,156692499764.03,"list(c(-119, -119, -119.611111, -122.142744250967, -129.734245, -122.755709501716, -121.58148491251, -119.455591802108, -119, 49.0085077406033, 50, 50.873611, 52.1414287670118, 53.983206, 49.0010038410375, 49.0086006148941, 49.0057037150144, 49.0085077406033))"
Myotis septentrionalis,Canada,MYSEP,Northern Myotis,4037656080905.44,"list(c(-94.3800275462031, -124, -126.483333, -118.617597272918, -98.9806890660944, -97.2287200000048, -95.159069509172, -95.1560899999999, -94.81758, -94.64, -94.3291400000001, -93.63087, -92.61, -91.64, -90.83, -89.6, -89.2729174466367, -88.3781141832867, -87.4397926233002, -86.4619908312283, -85.6523632474034, -84.8760798815149, -84.7792382473999, -84.5437487454459, -84.6049, -84.3367, -84.1421195136734, -84.0918512641615, -83.8907653470058, -83.6161309475906, -83.4695507473946, -83.5928507148431, 
-82.5509246487582, -82.3377631254311, -82.1376423815039, -82.1989051004011, -80.49238, -79.1566300231857, -79.1716735501119, -79.0485793449335, -69.5596124558254, -68.5111399999999, -67.23631, -66.39905, -65.36331, -63.86251, -63.6446321282449, -62.716667, -76.5531519770023, -76.54137, -77.0956, -78.22874, -79.82958, -79.12421, -78.60191, -79.14301, -79.91289, -81.40075, -82.12502, -82.4362, -82.27285, -83.36055, -85.01181, -86.07121, -87.32421, -88.03978, -89.03953, -90.89769, -92.2970299999999, 
-92.76462, -93.21502, -94.6846, -94.62931, -94.3800275462031, 60.6215733218034, 61.25, 59.55, 51.6497607041362, 49.0129797187873, 49.0007, 49, 49.38425, 49.38905, 48.84, 48.67074, 48.60926, 48.45, 48.14, 48.27, 48.01, 48.0198082545827, 48.3029175888937, 47.94, 47.553338019392, 47.2202188177305, 46.9000833196824, 46.637101955749, 46.5386841904491, 46.4396, 46.40877, 46.5122258571157, 46.2754186061382, 46.1169269882991, 46.1169269882991, 45.9946863877126, 45.8168936224124, 45.3475165879054, 44.44, 
43.5710875514399, 43.4482375928156, 42.6656299990598, 43.4481334610477, 43.4663394231842, 43.5098894416471, 48.1150561390803, 49.0683600000001, 49.51156, 50.22897, 50.2982, 50.29099, 50.2714207802994, 50.566667, 56.6319627949417, 56.53423, 55.83741, 55.13645, 54.66772, 54.14145, 52.56208, 51.53393, 51.20842, 52.15788, 53.27703, 54.28227, 55.14832, 55.24489, 55.3026, 55.72383, 55.99914, 56.47162, 56.8517200000001, 57.28468, 57.08709, 57.84571, 58.78212, 58.94882, 60.11021, 60.6215733218034))"
Myotis evotis,Canada,MYEVO,Long-eared Myotis,273329291614.016,"list(c(-111.383333, -111.416667, -122.166667, -122, -121.444335, -120.95873, -113.9, -111.383333, 49.116667, 50.666667, 54.283333, 52, 49.380215, 49.320419, 49.05, 49.116667))"
Lasiurus cinereus,Canada,LACIN,Hoary Bat,1281319794298.17,"list(c(-78.2198607691027, -76.133333, -82.433333, -105.883333, -123.003373, -123.113521, -122.264439, -112.941023316794, -110.05, -107.05, -104.04826, -100.65, -97.2287200000048, -95.159069509172, -95.1560899999999, -94.81758, -94.64, -94.3291400000001, -93.63087, -92.61, -91.64, -90.83, -89.6, -89.2729174466367, -88.3781141832867, -87.4397926233002, -86.4619908312283, -85.6523632474034, -84.8760798815149, -84.7792382473999, -84.5437487454459, -84.6049, -84.3367, -84.1421195136734, -84.0918512641615, 
-83.8907653470058, -83.6161309475906, -83.4695507473946, -83.5928507148431, -82.5509246487582, -82.3377631254311, -82.1376423815039, -82.2907444912382, -80.42548, -79.0077649384789, -79.01, -79.1716735501119, -78.7202799140424, -78.2198607691027, 43.6281609959934, 44.55, 49.416667, 53.566667, 50.092049, 49.261096, 49.006408, 49.0007368744536, 49, 49, 48.99986, 49, 49.0007, 49, 49.38425, 49.38905, 48.84, 48.67074, 48.60926, 48.45, 48.14, 48.27, 48.01, 48.0198082545827, 48.3029175888937, 47.94, 47.553338019392, 
47.2202188177305, 46.9000833196824, 46.637101955749, 46.5386841904491, 46.4396, 46.40877, 46.5122258571157, 46.2754186061382, 46.1169269882991, 46.1169269882991, 45.9946863877126, 45.8168936224124, 45.3475165879054, 44.44, 43.5710875514399, 43.2630715373311, 42.57933999906, 43.2624632390157, 43.2700000000001, 43.4663394231842, 43.6250894231849, 43.6281609959934))"
Corynorhinus townsendii,Canada,COTOW,Townsend's Big-eared Bat,52558863223.7438,"list(c(-122.249002843707, -122.133333, -119.366667, -119.139671, -119.280052, -119.611111, -122.071944, -122.142744250967, -122.15, -123.065136, -122.271134438471, -122.249002843707, 49.0057437965013, 49.016667, 50.2, 50.55085, 50.700387, 50.873611, 52.116944, 52.1414287670118, 52.133333, 49.245253, 49.0055831221029, 49.0057437965013))"
Perimyotis subflavus,Canada,PESUB,Tricolored Bat,42171645504.7493,"list(c(-78.0053162339881, -76.216667, -75.7, -75.79778, -75.933333, -77.00995, -79.92451, -80.133333, -80.49115, -79.09511, -78.9220241609736, -79.01, -79.1716735501119, -78.7202799140424, -78.0053162339881, 43.6288092784601, 44.85, 45.416667, 45.64833, 45.633333, 45.5051899990569, 43.7544199990576, 43.616667, 42.6665699990598, 42.8454299990593, 42.9718939064946, 43.2700000000001, 43.4663394231842, 43.6250894231849, 43.6288092784601))"
