submitdate
lastpage
token
cntry
spp
sppCode
range.Z.
range.A.
range.B.
range.C.
range.D.
range.E.
range.F.
range.G.
range.H.
popSize.sz_min.
popSize.sz_mean.
popSize.sz_max.
popSizeConf.conf.
popTrend.tr_min.
popTrend.tr_mean.
popTrend.tr_max.
popTrendConf.conf.
devN.sub1.
devN.sub2.
devN.sub3.
devScope.sub1_min.
devScope.sub1_mean.
devScope.sub1_max.
devScope.sub1_conf.
devScope.sub2_min.
devScope.sub2_mean.
devScope.sub2_max.
devScope.sub2_conf.
devScope.sub3_min.
devScope.sub3_mean.
devScope.sub3_max.
devScope.sub3_conf.
devSev.sub1_min.
devSev.sub1_mean.
devSev.sub1_max.
devSev.sub1_conf.
devSev.sub2_min.
devSev.sub2_mean.
devSev.sub2_max.
devSev.sub2_conf.
devSev.sub3_min.
devSev.sub3_mean.
devSev.sub3_max.
devSev.sub3_conf.
agN.sub1.
agN.sub2.
agN.sub3.
agN.sub4.
agScope.sub1_min.
agScope.sub1_mean.
agScope.sub1_max.
agScope.sub1_conf.
agScope.sub2_min.
agScope.sub2_mean.
agScope.sub2_max.
agScope.sub2_conf.
agScope.sub3_min.
agScope.sub3_mean.
agScope.sub3_max.
agScope.sub3_conf.
agScope.sub4_min.
agScope.sub4_mean.
agScope.sub4_max.
agScope.sub4_conf.
agSev.sub1_min.
agSev.sub1_mean.
agSev.sub1_max.
agSev.sub1_conf.
agSev.sub2_min.
agSev.sub2_mean.
agSev.sub2_max.
agSev.sub2_conf.
agSev.sub3_min.
agSev.sub3_mean.
agSev.sub3_max.
agSev.sub3_conf.
agSev.sub4_min.
agSev.sub4_mean.
agSev.sub4_max.
agSev.sub4_conf.
enN.sub1.
enN.sub2.
enN.sub3.
enScope.sub1_min.
enScope.sub1_mean.
enScope.sub1_max.
enScope.sub1_conf.
enScope.sub2_min.
enScope.sub2_mean.
enScope.sub2_max.
enScope.sub2_conf.
enScope.sub3_min.
enScope.sub3_mean.
enScope.sub3_max.
enScope.sub3_conf.
enSev.sub1_min.
enSev.sub1_mean.
