Species,Question,Outliers ,Id,,,,,,,,,,,,,,,,,,,,,,
Lasionycteris noctivagans,PS,x,Oug0a3aapOqUZMY,,,,,,,,,,,,,,,,,,,,,,
Leptonycteris yerbaguensis,PS,x,pZSZ2S7XtDpnG1c,,,,,,,,,,,,,,,,,,,,,,
Leptonycteris yerbaguensis,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Lonchorhina aurita,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Lophostoma brasiliense,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Lophostoma evotis,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Lophostoma evotis,PS,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Mimon cozumelae,PS,x,Two groups,,,,,,,,,,,,,,,,,,,,,,
Micronycteris schmidtorum,PS,x,Two groups,,,,,,,,,,,,,,,,,,,,,,
Molossus coibensis,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Molossus coibensis,PS,x,Wlx2mlaEC2phUPz,,,,,,,,,,,,,,,,,,,,,,
Molossus molossus,PS,x,Two groups,,,,,,,,,,,,,,,,,,,,,,
Myotis albescens,PS,x,xSCXILAei4NZMw2,,,,,,,,,,,,,,,,,,,,,,
Myotis auriculus,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Myotis auriculus,PS,x,4AWV3vZPdJc9vE0,,,,,,,,,,,,,,,,,,,,,,
Myotis elegans,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Myotis elegans,PS,x,GKKyGHWtpfIG3Wu,,,,,,,,,,,,,,,,,,,,,,
Myotis evotis,PS,x,Three groups,,,,,,,,,,,,,,,,,,,,,,
Myotis findleyi,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Vampyressa thyone,PS,x,EA6eaCxrJPUmow5,,,,,,,,,,,,,,,,,,,,,,
Vampyressa thyone,PS,x,GKKyGHWtpfIG3Wu,,,,,,,,,,,,,,,,,,,,,,
Vampyressa thyone,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Vampyressa thyone,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Myotis fortidens,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Myotis melanorhinus,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Myotis occultus,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Myotis peninsularis,PS,x,CMDizkyMX6dQuxi,,,,,,,,,,,,,,,,,,,,,,
Myotis velifer,PS,x,DaJhXwN6qank1rN,,,,,,,,,,,,,,,,,,,,,,
Myotis velifer,PS,x,pZSZ2S7XtDpnG1c,,,,,,,,,,,,,,,,,,,,,,
